LANDMARK NAME,ID,ADDRESS,DATE BUILT,ARCHITECT,LANDMARK DESIGNATION DATE,LATITUDE,LONGITUDE
Alfred Caldwell Lily Pool,L- 60,North end of Lincoln Park Zoo at Fullerton Parkway,1936-38,Landscape Architect: Alfred Caldwell,11-06-02,41.92499923,-87.63396225
35 East Wacker Building,L-195,35 E Wacker Dr,1925-27,Joachim G. Giaver & Frederick P. Dinkelberg,02-09-94,41.88651836,-87.62678477
Chicago Public Library/Cultural Center,L- 68,78 E Washington St,1897,"Shepley, Rutan and Coolidge",11-05-76,41.88386466,-87.62499587
(Former) Engine Company 86,L-229,2414 W Cuyler Av,1899,Board of Public Works,10-01-03,41.95519144,-87.68922824
Elks National Memorial Headquarters Building,L- 01,2750 N Lakeview Ave,1924-26,Egerton Swartwout,10-01-03,41.93228562,-87.63989765
Florsheim Shoe Company Building,L- 32,3963 W Belmont Av,1924-26,Alfred S. Alschuler,03/29/2006,41.93861001,-87.7265989
S. Pond Refectory/Men's & Ladies Comfort Station,L-189,2019 N Stockton Dr,1908&1888,S Pond:Perkins&Hamilton Comfort:Joseph L Silsbee,02-05-03,41.9191052,-87.6340101
"Reid, Murdoch and Company Building",L-174,320 N Clark St,1914,George C. Nimmons,11/15/1976,41.88812724,-87.63183147
Washington Block,L-207,40 N Wells St,1873-74,Frederick & Edward Baumann,01/14/1997,41.88295583,-87.63407766
Chicago Orphan Asylum Building,L-278,"5120 S Dr Martin Luther King, Jr. Dr",,,,41.80134196,-87.6165078
Marshall Field and Company Building,L-141,111 N State St,1892,Daniel H. Burham & Charles Atwood,11-01-05,41.8838568,-87.62703774
Monadnock Block,L-148,53 W Jackson Blvd,1889-93,N1/2: Burham & Root; S1/2: Holabird & Roche,11/14/1973,41.87753145,-87.62954581
Sydney A. Kent House,L-128,2944 S Michigan Av,1883,Burnham and Root,03/18/1987,41.84067686,-87.62400071
(Former) Engine Company 27,L-227,1244 N Wells St,1874,1907 (add.) Board of Public Works,10-01-03,41.90516102,-87.63484794
Medinah Temple,L-145,600 N Wabash Av,1912,Huehl & Schmid,06/27/2001,41.89288778,-87.62714151
South Shore Cultural Center,L- 11,7059 South Shore Dr,"1906,09,16",Marshall & Fox,05/26/2004,41.76760866,-87.56441514
Old Colony Building,L-155,407 S Dearborn St,1894,Holabird & Roche,07-07-78,41.87660759,-87.62897733
Lion House - Lincoln Park Zoo,L- 15,2132 N Stockton Dr,1912,"Perkins, Fellows & Hamilton",11/30/2005,41.92133817,-87.63333598
Statue of the Republic,L-191,Jackson Park at Hayes & Richards Drs,1918,"Daniel Chester French,sculptor&Henry Bacon,arch",06-04-03,41.77959613,-87.57988165
Crown Hall,L- 29,3360 S State St,1950-56,Ludwig Mies van der Rohe,10-01-97,41.83324517,-87.6272852
Inland Steel Building,L-121,30 W Monore St,1957,"Skidmore, Owings & Merrill",10-07-98,41.88107332,-87.62900319
Riviera Motor Sales Company Building,L-319,5948-60 N. Braodway,1925-26,R. Bernard Kurzon,06-06-12,41.99064509,-87.66070278
Schlecht House,L-226,5804 W Race Av,1887,Frederick Schock,01/20/1999,41.89038609,-87.7703988
Ebenezer Missionary Baptist Church Building,L-313,4501 S. Vincennes Ave,1898-1899,Dankmar Adler,07/28/2011,41.81283645,-87.61357454
Keck-Gottschalk-Keck Apartments,L-126,5551 S University Av,1937,George and William Keck,08-03-94,41.79355086,-87.59770366
6901 Oglesby Cooperative Apartment Building,L-266,6901 S Oglesby Av,1928-29,Paul Frederick Olsen,09-10-08,41.76959911,-87.56778516
(Former) Schlitz Brewery Stable Building,L-308,11314 S. Front Ave.,1906,Frommann and Jebsen,07-06-11,41.68855888,-87.61215287
860-880 Lake Shore Drive,L- 86,860-880 N Lake Shore Dr,1949-51,Ludwig Mies van der Rohe,06-10-96,41.89884251,-87.61885733
(Former) Hyde Park Bank,L-267,1515-1535 E 53rd St,,,,41.79932571,-87.58818688
F. R. Schock House,L-223,5804 W Midway Park,1886,Frederick Schock,01/20/1999,41.88932169,-87.77022252
John Raber House,L-170,5760 S LaFayette Av,1870,"Major Alterations, 1894;Thomas Wing",04/16/1996,41.78921937,-87.62695294
Bryn Mawr Apartment Hotel,L- 57,5550 N Kenmore Av,1927-28,Alexander L. Levy & William J. Klein,11-06-02,41.98331134,-87.65700296
Charles N. Loucks House,L-269,3926 N Keeler,,,10-08-08,41.95260359,-87.73287873
Edwin Colvin House,L- 73,5940 N Sheridan Rd,1909,George W. Maher,10-05-94,41.9903361,-87.65581666
Northwestern University Settlement House,L-154,1400 W Augusta Blvd,1901,Pond & Pond,12-01-93,41.90004273,-87.6628741
Civic Opera Building,L- 72,20 N Wacker Dr,1927-29,"Graham, Anderson, Probst & White",02-05-98,41.88253375,-87.637513
"Engine Company 84, Truck 51",L-238,6204 S Green St,1929,"Paul Gerhardt, Jr.",10-01-03,41.78126631,-87.646397
Majestic Building and Theater,L-138,22 W Monore St,1906,Edmund R. Krause,05-11-05,41.88107856,-87.62857776
(Former) Schlitz Brewery-Tied House@1801W.Division,L-303,1801 W. Division St.,1900-01,Fritz Lang,05-04-11,41.90301324,-87.67254145
"Engine Company 5, Truck 2",L-234,324 S DesPlaines Av,1928,Alfred S. Alschulter,10-01-03,41.87718066,-87.64430864
John Wingert House,L-212,6231 N Canfield Av,1854,Add. c. 1868-75 Architect Unknown,07/31/1990,41.99430885,-87.82160659
Richard Nickel Studio,L-294,"1810 West Cortland St,",1889`,Unknown,06-09-10,41.91627982,-87.67324118
Old Chicago Coast Guard Station,L-240,250 North Breakwater Access,,,12-12-07,41.88764075,-87.61019755
Germania Club Building,L-298,108 W. Germania Place / 1538-1542 N. Clark St.,1889,Addison  and Fiedler,01/13/2011,41.91061324,-87.63207758
Laramie State Bank Building,L-132,5200 W Chicago Av,1927-29,Meyer & Cook with Northwestern Terra Cotta Co.,06/14/1995,41.89520776,-87.75583758
Ida B. Wells-Barnett House,L-208,3624 S Dr Martin Luther King Jr Dr,1889,Joseph A. Thain,10-02-95,41.82859199,-87.61773209
Clarence Buckingham Memorial Fountain and Garden,L- 58,Grant Park at Congress Drive,1927,"Bennett, Parsons & Frost with Jacques Lambert",08/30/2000,41.87579719,-87.61898793
Farwell Building,L- 07,664 N Michigan Ave,1927,Philip B. Maher,03-10-04,41.89431494,-87.62462078
Krause Music Store,L-130,4611 N Lincoln Av,1922,William Presto ans Louis H. Sullivan,09/28/1977,41.96533613,-87.68601082
Biograph Theater,L- 53,2433-43 N Lincoln Av,1914,Samuel N. Corwen,03/28/2001,41.92652071,-87.64975918
Roanoke Building and Tower,L-254,11 S LaSalle St,,,12-12-07,41.88170712,-87.63195358
Illinois-Indiana State Line Boundary Marker,L-118,"Avenue G, near 103rd St",1838,Office of the United States Surveyor-General,09-04-02,41.70886467,-87.52622269
Veseman Building,L-255,444 N LaSalle St,,,12-12-07,41.89047915,-87.63288949
Charles Hitchcock House,L-113,5704 W Ohio St,1871,Architect Unknown,07-07-92,41.8913214,-87.7680838
K.A.M. Isaiah Israel Temple,L-124,1100 E Hyde Park Blvd,1924,Alfred S. Alschuler,06-09-77,41.80282583,-87.59861639
Site of the John & Mary Jones House,L- 10,SW Corner of W 9th St & Plymouth Ct,,,05/26/2004,41.86979498,-87.62956097
IBM Building,L-258,330 North Wabash Av,,,02-06-08,41.88861449,-87.62750766
John Rath House,L-172,2703 W Logan Blvd,1907,George W. Maher,12-01-93,41.92789833,-87.69530973
Bush Temple of Music,L- 59,100 W Chicago Av,1901,J.E.O. Pridmore,06/27/2001,41.89690293,-87.63166847
Humboldt Park Boathouse Pavilion,L-116,1301 N Humboldt Blvd,1907,"Richard E. Schmidt,Garden & Martin w/ Jens Jenson",11/13/1996,41.90562148,-87.70080444
Milwaukee & St Paul Bridge,L-250,"N Branch Chgo River, Cherry Av, S of North Ave",,,12-12-07,41.91036873,-87.65552219
Illinois Central Swing Bridge,L-245,"San & Ship Canal, N of Stevenson Exp & E of Kedzie",,,12-12-07,41.83242443,-87.70241367
Brewster Apartments,L- 54,2800 N Pine Grove Av,1893,Enoch Hill Turnock,10-06-82,41.93316396,-87.64158298
(Former) Belmont-Sheffield Trust & Savings Bldg,L-260,3150 N Sheffield Av,,,07-09-08,41.93967875,-87.65444854
Illinois Central Swing Bridge,L-248,"San & Ship Canal, S of 35th St & E of Pulaski Rd",,,12-12-07,41.82864937,-87.7144107
James Ward Public School,L-205,2703 S Shields Av,1874-75,Johnson & Edelmann Add:1897;N. S. Patton,09/14/2005,41.84319609,-87.63509231
Kimbell Trust and Savings Bank Building,L-282,,,,,41.92490852,-87.71726933
American System-Built Houses,L- 47,10410 S Hoyne Av,1917,Frank Lloyd Wright,07/13/1994,41.70419675,-87.67464799
Goldblatt Bros. Department Store,L-105,1613-1635 W Chicago av,1921-22,Alfred S. Alshuler,04-01-98,41.89577179,-87.66827312
Stephen Foster House and Stable,L- 97,12147 S Harvard Av,1900,Frank Lloyd Wright,05-09-96,41.67280322,-87.63057375
Woman's Athletic Club,L-213,626 N Michigan av,1928,Philip B. Maher,10-02-91,41.89358116,-87.62460102
Chicago Board of Trade Building,L- 14,141 W Jackson Blvd,1930,Holabird & Root,05-04-77,41.87773513,-87.63227115
Pittsfield Building,L-167,55 E Washington st,1927,"Graham, Anderson, Probst & White",11-06-02,41.88294695,-87.62571629
Mundelein College Skyscraper Building,L- 36,1020 W Sheridan Rd,1930-31,Joseph W McCarthy,12/13/2006,41.99867594,-87.65655162
Marie Schock House,L-225,5749 W Race Av,1888,Frederick Schock,01/20/1999,41.88975861,-87.76971676
(Former) Engine Company 42 Firehouse,L-253,228 W Illinois St,,,12-12-07,41.8910068,-87.63528245
Wood-Maxey-Boyd House,L-214,2801 S Prarie Av,1885,John C. Cochrane,10-01-03,41.8432903,-87.61997676
Chicago & Northwestern Bridge,L-251,"N Branch Chgo River, S of Kinzie & E of Canal St",,,12-12-07,41.88851006,-87.63909924
(Former) Stock Yards National Bank Building,L-281,4150 S Halsted St,,,,41.81880899,-87.64629601
Peoples Gas-Irving Park Neighborhood Store,L-163,4829 W Irving Park Rd,1926,George Grant Elmslie & Herman V. von Holst,03/18/1987,41.95309429,-87.74890384
Francis J. Dewes House,L- 82,503 W Wrightwood Av,1896,Adolph Cudell & Arthur Hercz,06-12-74,41.93034077,-87.64157423
Dearborn Street Station,L- 79,47 W Polk St,1885,Cyrus L. W. Eidlitz,03-02-82,41.87174055,-87.62910493
Wrigley Building,L-320,400-410 North Michigan Avenue,1921,"Graham, Anderson, Probst and White",05-09-12,41.88972563,-87.62485292
St. Gelasius Church Building,L- 02,6401-09 S Woodlawn Ave,1923-28,Henry J. Schlacks,01/14/2004,41.77835168,-87.59576093
(Former) Calumet National Bank Bldg,L-261,9117 S Commercial Av,,,07-09-08,41.72951124,-87.55084594
White Castle # 16,L-312,43 East Cermak Road,1930,Lewis E. Russell,10-05-11,41.85263792,-87.62532982
Old Republic Building,L-299,307 N. Michigan Ave,1924,K. M. Vitzthum and Company,12-08-10,41.88708645,-87.62418141
Trustees System Service Building,L- 03,201 N Wells St,1929-30,"Thielbard & Fugard w/ Eugene&Gwen Lux,Edgar Miller",01/14/2004,41.88604619,-87.63363399
Wrigley Field,L- 04,1060 W Addison St,1914,Zachary T. & Charles G. Davis,02-11-04,41.94814483,-87.65554259
"(Former) Engine Company 35, Truck 28",L-228,1625 N Damen Av,"18,941,904","Board of Public Works, add: W. C. Zimmerman",10-01-03,41.91123781,-87.67714161
Allerton Hotel,L- 45,701 N Michigan Av,1922,Murgatroyd & Ogden with Fugard & Knapp,04/29/1998,41.89520098,-87.62371376
Chicago & Illinois Western Bridge,L-247,"Collateral Channel Water Lot D,33rd,E of Kedzie",,,12-12-07,41.83403328,-87.70194285
Robert W. Roloson Houses,L-177,3213-19 S Calumet Av,1894,Frank Lloyd Wright,12/27/1979,41.83605095,-87.61786831
"Engine Company 65, Truck 52",L-237,3000 W. 42nd St,1929,"Paul Gerhardt, Jr.",10-01-03,41.80373386,-87.73535704
Chicago Building,L- 67,7 W Madison St,1905,Holabird & Roche,03/26/1996,41.88184956,-87.62817297
American System-Built Houses,L- 48,10541 S Hoyne Av,1917,Frank Lloyd Wright,07/13/1994,41.7015922,-87.67382636
Continental And Commercial National Bank Building,L-252,208 South LaSalle St,,,12-12-07,41.87907898,-87.63301185
Blackstone Library,L-297,4904 S. Lake Park Ave,1904,Solon Spencer Beman,01/13/2011,41.80582879,-87.59030595
Home Bank & Trust Company,L-256,1200-08 N Ashland Av / 1600-12 W Division St,,Karl M. Vitzthum,02-06-08,41.9036108,-87.66796079
Metropolitan Missionary Baptist Church,L-146,2151 W Washington Blvd,1901,Hugh M.G. Garden,02/16/1989,41.88280034,-87.68124236
Noble-Seymour-Crippen House,L-153,5624 N Newark Av,1833,"addit 1863, Architects Unknown",05-11-88,41.98361513,-87.79584731
Roberts Temple Church of God in Christ Building,L- 30,4021 S State St,1922,"Edward G. McClellan add:1927,unknown,remod:1992-93",03/29/2006,41.82120993,-87.62591133
Soldiers' Home,L- 26,739 E 35th St,1864-1923,William W. Boyington (1866 sect),04/16/1996,41.83075107,-87.60747387
Michigan Avenue Bridge and Wacker Dr Esplanade,L-220,"S Side of Chicago River, bet Michigan and Wabash",1920&1926,Bridge & Bridge Hses:1920:E. Bennett,10-02-91,41.88856216,-87.62481604
Madonna Della Strada Chapel,L-137,6453 N. Kenmore Avenue,1938-39,Andrew N. Rebori,09-02-04,41.99955864,-87.6562472
Griffiths-Burroughs House,L-292,3806 S. Michigan Avenue,1892,Solon S. Beman,02-10-10,41.82526647,-87.62366524
Assumption School,L- 49,319 W Erie St,1899,Frederick R. Foltz,07-09-03,41.8937173,-87.63651848
Lindemann and Hoverson Company,L-270,2620 W Washington Blvd,,,,41.88335059,-87.69187042
Main Building at Illinois Institute of Technology,L- 13,3320 S Federal St,1891-93,Patton & Fisher,05/26/2004,41.8336805,-87.62922306
Whistle Stop Inn,L-211,4200 W Irving Park Rd,1889,Architect Unknown,12-05-90,41.95381757,-87.7326763
Shedd Park Fieldhouse,L- 05,3600 W 23rd St,1916-17,William Drummond,02-11-04,41.85016619,-87.71706068
Brooks Building,L- 56,233 W Jackson Blvd,1910,Holabird & Roche,01/14/1997,41.87787644,-87.63477822
Immaculata High School & Convent Buildings,L- 20,640 W Irving Park Rd & 4030 N Marine Dr,1922,Barry Byrne,07/27/1983,41.95512134,-87.6462916
Chicago Theater,L- 69,175 N State St,1921,Rapp and Rapp,01/28/1983,41.88538851,-87.62722322
Auditorium Building,L- 50,430 S Michigan Av,1886-90,Adler & Sullivan,09/15/1976,41.87603942,-87.62516001
227 East Walton Place Apartment Building,L-314,227 East Walton Place,1956,Harry Weese,05-09-12,41.89981429,-87.62077823
New Regal Theater,L-151,1641 E 79th st,1927,John Eberson,06/17/1992,41.75124738,-87.5835097
Engine Company 78,L-231,1052 W Waveland Av,1915,Charles W. Kallal,10-01-03,41.94930082,-87.65656809
King-Nash House,L-129,3234 W Washington Blvd,1901,George W. Maher,02-10-88,41.88305494,-87.70759499
(Former) Swedish American State Bank Bldg,L-264,5400 N Clark St,,,07-09-08,41.97997886,-87.66855143
Stephen Race House,L-171,3945 N Tripp Av,1874,Architect Unknown,09/22/1988,41.95310186,-87.73367075
Pate-Comiskey House,L-162,5131 S Michigan Av,1901,George Maher,10-01-03,41.80101655,-87.62214969
Heald Square Monument,L-206,Wacker Dr at Wabash Av,1936-41,"Lorado Taft & Leonrd Crunelle, Sculptors",09/15/1971,41.88700528,-87.62692807
Kaufmann Store and Flats,L-125,2312-14 N Lincoln Av (S Half:1883;North Half:1887),1883,Adler & Sullivan,04/16/1996,41.92386743,-87.64707107
Yale Apartments,L-215,6565 S Yale Av,1892-93,John T. Long,04-09-03,41.77470411,-87.63129622
Carl Schurz High School,L-180,3601 N Milwaukee Av,1910,Dwight H. Perkins,12-07-79,41.9472703,-87.73563931
Gage Group,L- 98,"18,24, and 30 S Michigan Av",1899-1900,"Louis H. Sullivan (18),Holabird & Roche (25 & 30)",09-11-96,41.88132379,-87.62498015
Jewish People's Institute,L- 23,3500 W Douglas Blvd,1927,Klaber & Grunfeld,06/28/2000,41.86325563,-87.71337292
(Former) Fullerton State Bank Bldg,L-262,1425 W Fullerton Av,,,07-09-08,41.92494553,-87.66435202
McGraw-Hill Building,L-144,520 N Michigan Av,1928-29,Thielbar & Fugard,02-07-97,41.89141092,-87.62489269
Site of the Sauganash Hotel/Wigwam,L-188,SE corner of Lake St & Wacker Dr,1831,,11-06-02,41.8853654,-87.63647275
Samuel M. Nickerson House,L-152,40 E Erie St,1883,Burling & Whitehouse,09/28/1977,41.89435058,-87.62653379
Third Unitarian Church Building,L-259,301 N Mayfield Av,1936,"Paul Schweikher, addit in 1956:William Fyfe",02-06-08,41.88587724,-87.77151773
"Garfield Boulevard ""L"" Station and Overpass",L- 99,319 E Garfield Blvd,1892,Myron Church,12-12-01,41.79373533,-87.61830365
(Former) Schlitz BreweryTied-House@958W.69th St.,L-304,958 W. 69th St.,1898,Unknown,07-06-11,41.76900629,-87.64920136
Leiter II Building,L- 25,403 S State St,1891,William LeBaron Jenney,01/14/1997,41.87633704,-87.62718672
Chapin and Gore Building,L- 64,63 E Adams,1904,Richard E. Schmidt and Hugh M.G. Garden,01/21/1982,41.87932732,-87.62561478
Carson Pirie Scott & Company Building,L- 63,1 S State St,1898-99,"Louis H. Sullivan, 1905-6:D.H. Burnham&Co.",11-05-70,41.88140588,-87.62698011
Albert F. Madlener House,L-136,4 W Burton Pl,1902,Richard E. Schmidt & Hugh M.G. Garden,03/22/1973,41.9096486,-87.62922179
Chicago & Western Indiana  Railroad Bridge,L-243,"Calumet River, 126th St, W of Torrence Av",1967-68,James Peterson,12-12-07,41.66934061,-87.55896435
Belle Shore Apartment Hotel,L- 55,1062 W Bryn Mawr Av,1928-29,Nathaniel Koenigsberg & Leon Weisfeld,11-06-02,41.98385069,-87.65762447
Site of the Origin of the Chicago Fire of 1871,L-187,Dekoven (1050s) & Jefferson (600w) St,1871,"comm sculpture,""Pillar of Fire"" Egon Weiner 1961",09/15/1971,41.86927206,-87.64199072
Emil Bach House,L- 51,7415 N Sheridan Road,1915,Frank Lloyd Wright,09/28/1977,42.01658291,-87.6647753
Field Building,L- 91,135 S LaSalle St,1924-34,"Graham, Anderson, Probst & White",02-09-94,41.87976425,-87.63154777
Rookery Building,L-156,209 S LaSalle St,1885-88,Burnham & Root,07-05-72,41.87907613,-87.63179743
Pulaski Park Fieldhouse,L-168,1419 W Blackhawk St,1912-14,William Carbys Zimmerman,07/29/2003,41.90648537,-87.66328365
"Engine Company 45, Truck 15",L-233,4600 S Cottage Grove Av,1928,Argyle E. Robinson,10-01-03,41.81118499,-87.6070024
London Guarantee Building,L-134,360 N Michigan Av,1922-23,Alfred S. Alschuler,04/16/1996,41.88795571,-87.62505786
McGill House,L- 28,4938 S Drexel Blvd,1891,Henry Ives Cobb,04/26/2006,41.80486126,-87.60479119
Ludington Building,L-135,1104 S Wabash Av,1891,William LeBaron Jenney,06-10-96,41.86900585,-87.62635497
(Former) Schlitz BreweryTied-House@3456SWestern,L-307,3456 S. Western Ave.,1899,Kley & Lang,07-06-11,41.83042248,-87.68544494
Second Presbyterian Church,L-182,1928-1936 S Michigan Av,1874,James Renwick Recon:1900;Howard Van Doren Shaw,09/28/1977,41.85572488,-87.62435931
(Former) Schlitz Brewery-Tied House,L-300,5120 N. Broadway,1904,Charles Thisslew,05-04-11,41.97522511,-87.66025837
Lorado Taft's Midway Studios,L-192,6016 S Ingleside Dr,1890-1929,"Arch ?, recon:1929;O F Johnson Add:1964;E D Dart",12-01-93,41.78552641,-87.6032052
(Former) Sheridan Trust and Savings Bank Building,L-271,4753 N Broadway,1924-28,"Marshall & Fox, Huszagh & Hill",10-08-08,41.96862254,-87.65913012
"Pennsylvania ""Eight Track"" Bridge",L-246,"San & Ship Canal, S of 31st & W of Western Av",,,12-12-07,41.83707881,-87.68759544
Uptown Theater,L-202,4816 N Broadway,1925,Rapp & Rapp,10-02-91,41.96952571,-87.66019567
"Eighth Church of Christ, Scientist",L- 87,4359 S Michigan Av,1911,Leon E. Stanhope,06-09-93,41.81498777,-87.62250788
Chicago Harbor Lighthouse,L- 19,"S End of the North Breakwater,N side of Harbor Ent",1893,Unknown,04-09-03,41.88927337,-87.59040947
Chess Records Office and Studio,L- 66,2120 S Michigan Av,1911,Horatio Wilson,05/16/1990,41.85360644,-87.6242199
Isidore H. Heller House,L-111,5132 S Woodlawn Av,1897,Frank Lloyd Wright,09/15/1971,41.80140832,-87.5971117
St Ignatius College Prep Building,L-221,1076 W Roosevelt Rd,1869,Toussaint Menard west add:1874;John P. Huber,03/18/1987,41.86741856,-87.65412204
Gauler Twin House,L-101,5921 N Magnolia Av,1908,Walter Burley Griffin,06/28/2000,41.98970697,-87.66119344
Museum of Science and Industry,L- 27,57th St and Lake Shore Dr,1891-93,Charles B. Atwood,11-01-95,41.79054723,-87.58287466
Village Theatre,L-276,1546-1550 N Clark St,,,,41.91084528,-87.63208883
Stephen A. Douglas Memorial,L- 84,35th St and Cottage Grove Av,1881,Leonard W. Volk,09/28/1977,41.83162805,-87.60840332
